2026-02-27 13:16:08,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,N/A,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:09,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,N/A,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:10,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:11,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:12,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:13,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:14,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:15,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:16,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:17,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:18,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:19,SRT Feed,srt://207.35.238,Good Video,0,Good Audio,In Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:20,SRT Feed,srt://207.35.238,Good Video,41,Good Audio,Out Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:21,SRT Feed,srt://207.35.238,Good Video,201,Good Audio,Out Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:22,SRT Feed,srt://207.35.238,Good Video,361,Good Audio,Out Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:23,SRT Feed,srt://207.35.238,Good Video,386,Good Audio,Out Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:24,SRT Feed,srt://207.35.238,Good Video,404,Good Audio,Out Sync,Alert,0.00,0,0,PSI Error,NTP Good
Timestamp,Feed,URI,Video,Frames,Audio,AV Sync,TS Status,Bitrate (Mbps),PCR Discont,Cont. Errors,PSI Summary,Sync
2026-02-27 13:16:25,SRT Feed,srt://207.35.238,Good Video,456,Good Audio,Out Sync,Alert,0.00,0,0,PSI Error,NTP Good
